original_path,degraded_path,degradation,restored_path,corrected_path,psnr,ssim,niqe
originals/1 (989).jpg,degraded/1 (989)_gauss10.png,gauss_10,results/restored_paired/restored_1 (989)_gauss10_20251124_191637.png,results/restored_paired/corrected_1 (989)_gauss10_20251124_191637.png,27.38082604,0.694618806,4.690381873
originals/1 (989).jpg,degraded/1 (989)_gauss25.png,gauss_25,results/restored_paired/restored_1 (989)_gauss25_20251124_191639.png,results/restored_paired/corrected_1 (989)_gauss25_20251124_191639.png,22.27108116,0.467116079,4.824308158
originals/1 (989).jpg,degraded/1 (989)_blur3.png,blur_3,results/restored_paired/restored_1 (989)_blur3_20251124_191640.png,results/restored_paired/corrected_1 (989)_blur3_20251124_191640.png,29.93061618,0.902990349,5.731098794
originals/1 (989).jpg,degraded/1 (989)_blur7.png,blur_7,results/restored_paired/restored_1 (989)_blur7_20251124_191642.png,results/restored_paired/corrected_1 (989)_blur7_20251124_191642.png,29.8276975,0.892362345,5.517816047
originals/1 (989).jpg,degraded/1 (989)_x2.png,downs_up_x2,results/restored_paired/restored_1 (989)_x2_20251124_191644.png,results/restored_paired/corrected_1 (989)_x2_20251124_191644.png,29.90371578,0.899500021,5.696892433
originals/1 (989).jpg,degraded/1 (989)_x4.png,downs_up_x4,results/restored_paired/restored_1 (989)_x4_20251124_191645.png,results/restored_paired/corrected_1 (989)_x4_20251124_191645.png,29.59434126,0.881064656,5.605164617
originals/1 (989).jpg,degraded/1 (989)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (989)_jpg30_20251124_191647.png,results/restored_paired/corrected_1 (989)_jpg30_20251124_191647.png,29.93917731,0.889943807,5.433695366
originals/1 (989).jpg,degraded/1 (989)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (989)_jpg10_20251124_191648.png,results/restored_paired/corrected_1 (989)_jpg10_20251124_191648.png,29.54680508,0.850522754,5.66445674
originals/1 (99).jpg,degraded/1 (99)_gauss10.png,gauss_10,results/restored_paired/restored_1 (99)_gauss10_20251124_191703.png,results/restored_paired/corrected_1 (99)_gauss10_20251124_191703.png,28.3019112,0.831097335,6.786119746
originals/1 (99).jpg,degraded/1 (99)_gauss25.png,gauss_25,results/restored_paired/restored_1 (99)_gauss25_20251124_191723.png,results/restored_paired/corrected_1 (99)_gauss25_20251124_191723.png,20.75703216,0.521989627,10.67769627
originals/1 (99).jpg,degraded/1 (99)_blur3.png,blur_3,results/restored_paired/restored_1 (99)_blur3_20251124_191743.png,results/restored_paired/corrected_1 (99)_blur3_20251124_191743.png,33.59763869,0.909189795,5.259301908
originals/1 (99).jpg,degraded/1 (99)_blur7.png,blur_7,results/restored_paired/restored_1 (99)_blur7_20251124_191808.png,results/restored_paired/corrected_1 (99)_blur7_20251124_191808.png,28.81347513,0.797117001,6.835706801
originals/1 (99).jpg,degraded/1 (99)_x2.png,downs_up_x2,results/restored_paired/restored_1 (99)_x2_20251124_191832.png,results/restored_paired/corrected_1 (99)_x2_20251124_191832.png,31.15561443,0.855388954,5.577686336
originals/1 (99).jpg,degraded/1 (99)_x4.png,downs_up_x4,results/restored_paired/restored_1 (99)_x4_20251124_191857.png,results/restored_paired/corrected_1 (99)_x4_20251124_191857.png,26.38969653,0.714026688,8.554466105
originals/1 (99).jpg,degraded/1 (99)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (99)_jpg30_20251124_191921.png,results/restored_paired/corrected_1 (99)_jpg30_20251124_191921.png,31.35499636,0.844215851,4.754597707
originals/1 (99).jpg,degraded/1 (99)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (99)_jpg10_20251124_191941.png,results/restored_paired/corrected_1 (99)_jpg10_20251124_191941.png,28.06848354,0.757028265,6.947083494
originals/1 (990).jpg,degraded/1 (990)_gauss10.png,gauss_10,results/restored_paired/restored_1 (990)_gauss10_20251124_191947.png,results/restored_paired/corrected_1 (990)_gauss10_20251124_191947.png,29.37690251,0.59587113,4.927280116
originals/1 (990).jpg,degraded/1 (990)_gauss25.png,gauss_25,results/restored_paired/restored_1 (990)_gauss25_20251124_191948.png,results/restored_paired/corrected_1 (990)_gauss25_20251124_191948.png,23.65273826,0.428187165,4.98943378
originals/1 (990).jpg,degraded/1 (990)_blur3.png,blur_3,results/restored_paired/restored_1 (990)_blur3_20251124_191950.png,results/restored_paired/corrected_1 (990)_blur3_20251124_191950.png,33.52074304,0.894944491,5.488576195
originals/1 (990).jpg,degraded/1 (990)_blur7.png,blur_7,results/restored_paired/restored_1 (990)_blur7_20251124_191951.png,results/restored_paired/corrected_1 (990)_blur7_20251124_191951.png,33.4637838,0.883734911,5.628380692
originals/1 (990).jpg,degraded/1 (990)_x2.png,downs_up_x2,results/restored_paired/restored_1 (990)_x2_20251124_191953.png,results/restored_paired/corrected_1 (990)_x2_20251124_191953.png,33.53357404,0.891150715,5.405716053
originals/1 (990).jpg,degraded/1 (990)_x4.png,downs_up_x4,results/restored_paired/restored_1 (990)_x4_20251124_191954.png,results/restored_paired/corrected_1 (990)_x4_20251124_191954.png,33.52636196,0.874017596,5.570069364
originals/1 (990).jpg,degraded/1 (990)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (990)_jpg30_20251124_191956.png,results/restored_paired/corrected_1 (990)_jpg30_20251124_191956.png,33.61494279,0.87630695,5.219618211
originals/1 (990).jpg,degraded/1 (990)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (990)_jpg10_20251124_191957.png,results/restored_paired/corrected_1 (990)_jpg10_20251124_191957.png,32.12431992,0.841195331,5.51622552
originals/1 (991).jpg,degraded/1 (991)_gauss10.png,gauss_10,results/restored_paired/restored_1 (991)_gauss10_20251124_191959.png,results/restored_paired/corrected_1 (991)_gauss10_20251124_191959.png,22.29857609,0.391088862,4.351324292
originals/1 (991).jpg,degraded/1 (991)_gauss25.png,gauss_25,results/restored_paired/restored_1 (991)_gauss25_20251124_192000.png,results/restored_paired/corrected_1 (991)_gauss25_20251124_192000.png,21.22327792,0.23012831,3.862799074
originals/1 (991).jpg,degraded/1 (991)_blur3.png,blur_3,results/restored_paired/restored_1 (991)_blur3_20251124_192001.png,results/restored_paired/corrected_1 (991)_blur3_20251124_192001.png,22.34611974,0.74375654,3.9558967
originals/1 (991).jpg,degraded/1 (991)_blur7.png,blur_7,results/restored_paired/restored_1 (991)_blur7_20251124_192001.png,results/restored_paired/corrected_1 (991)_blur7_20251124_192001.png,22.05589572,0.727622719,4.271628535
originals/1 (991).jpg,degraded/1 (991)_x2.png,downs_up_x2,results/restored_paired/restored_1 (991)_x2_20251124_192002.png,results/restored_paired/corrected_1 (991)_x2_20251124_192002.png,22.1622045,0.733877621,4.429782303
originals/1 (991).jpg,degraded/1 (991)_x4.png,downs_up_x4,results/restored_paired/restored_1 (991)_x4_20251124_192003.png,results/restored_paired/corrected_1 (991)_x4_20251124_192003.png,21.53118486,0.710290214,4.812031089
originals/1 (991).jpg,degraded/1 (991)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (991)_jpg30_20251124_192004.png,results/restored_paired/corrected_1 (991)_jpg30_20251124_192004.png,22.5258059,0.752675632,3.837889532
originals/1 (991).jpg,degraded/1 (991)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (991)_jpg10_20251124_192005.png,results/restored_paired/corrected_1 (991)_jpg10_20251124_192005.png,22.53444826,0.742119945,3.937957117
